iter	Passed	Remaining
0	57	57163
1	57	28732
2	57	19246
3	58	14502
4	58	11657
5	58	9763
6	59	8409
7	59	7397
8	60	6614
9	60	5980
10	60	5464
11	61	5033
12	61	4666
13	61	4353
14	62	4081
15	62	3843
16	62	3632
17	63	3445
18	63	3276
19	63	3124
20	64	2987
21	64	2863
22	64	2749
23	65	2644
24	65	2548
25	65	2459
26	65	2377
27	66	2304
28	66	2235
29	67	2170
30	67	2108
31	67	2050
32	68	1997
33	68	1945
34	68	1896
35	69	1851
36	69	1807
37	69	1766
38	70	1727
39	70	1690
40	70	1654
41	71	1620
42	71	1587
43	71	1556
44	71	1526
45	72	1497
46	72	1470
47	72	1444
48	73	1419
49	73	1395
50	73	1372
51	74	1349
52	74	1327
53	74	1307
54	74	1286
55	75	1269
56	75	1251
57	75	1234
58	76	1216
59	76	1199
60	76	1183
61	77	1167
62	77	1152
63	77	1137
64	78	1123
65	78	1109
66	78	1095
67	78	1082
68	79	1069
69	79	1057
70	79	1045
71	80	1034
72	80	1022
73	80	1011
74	81	1000
75	81	989
76	81	978
77	81	968
78	82	958
79	82	949
80	82	940
81	83	930
82	83	919
83	83	910
84	83	902
85	84	893
86	84	885
87	84	876
88	84	869
89	85	861
90	85	854
91	85	846
92	86	839
93	86	832
94	86	825
95	86	818
96	87	811
97	87	805
98	87	798
99	88	792
100	88	786
101	88	779
102	88	773
103	89	767
104	89	762
105	89	756
106	89	750
107	90	744
108	90	739
109	90	734
110	91	730
111	91	724
112	91	719
113	91	714
114	92	710
115	92	705
116	92	699
117	93	695
118	93	690
119	93	685
120	93	681
121	94	676
122	94	672
123	94	668
124	94	663
125	95	659
126	95	655
127	95	651
128	95	647
129	96	643
130	96	639
131	96	636
132	96	632
133	97	628
134	97	625
135	97	621
136	98	617
137	98	614
138	98	610
139	98	607
140	99	603
141	99	599
142	99	596
143	99	593
144	100	590
145	100	587
146	100	583
147	100	581
148	101	577
149	101	575
150	101	572
151	102	569
152	102	566
153	102	564
154	102	561
155	103	558
156	103	555
157	104	557
158	104	554
159	105	551
160	105	548
161	105	545
162	105	543
163	106	540
164	106	538
165	106	535
166	106	533
167	107	531
168	107	528
169	107	526
170	108	524
171	108	521
172	108	519
173	108	517
174	109	514
175	109	512
176	109	510
177	110	508
178	110	505
179	110	503
180	110	501
181	111	499
182	111	497
183	111	494
184	111	492
185	112	490
186	112	488
187	112	486
188	112	484
189	113	482
190	113	480
191	113	478
192	113	476
193	114	474
194	114	472
195	114	471
196	115	469
197	115	467
198	115	465
199	115	463
200	116	461
201	116	460
202	116	458
203	116	456
204	117	454
205	117	452
206	117	451
207	118	449
208	118	448
209	118	446
210	119	445
211	119	443
212	119	441
213	119	440
214	120	438
215	120	437
216	120	435
217	120	433
218	121	432
219	121	431
220	121	429
221	122	428
222	122	426
223	122	425
224	123	423
225	123	422
226	123	420
227	123	419
228	124	418
229	124	416
230	124	415
231	125	413
232	125	412
233	125	410
234	125	409
235	126	407
236	126	406
237	126	405
238	126	403
239	127	402
240	127	401
241	127	399
242	127	398
243	128	397
244	128	395
245	128	394
246	129	393
247	129	391
248	129	390
249	129	389
250	129	387
251	130	386
252	130	385
253	130	384
254	131	383
255	131	382
256	131	381
257	132	379
258	132	378
259	132	377
260	132	376
261	133	374
262	133	373
263	133	372
264	133	371
265	134	370
266	134	369
267	134	368
268	135	367
269	135	366
270	135	364
271	135	363
272	136	362
273	136	361
274	136	360
275	137	359
276	137	358
277	137	357
278	137	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	139	349
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	343
292	141	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	337
298	143	336
299	143	335
300	144	334
301	144	333
302	144	333
303	145	332
304	145	331
305	145	330
306	145	329
307	146	328
308	146	327
309	146	326
310	146	325
311	147	324
312	147	323
313	147	322
314	148	322
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	150	315
322	150	315
323	150	314
324	150	313
325	151	312
326	151	311
327	151	310
328	151	309
329	152	308
330	152	308
331	152	307
332	153	306
333	153	305
334	153	304
335	153	304
336	154	303
337	154	302
338	154	301
339	155	300
340	155	300
341	155	299
342	155	298
343	156	297
344	156	297
345	156	296
346	156	295
347	157	294
348	157	293
349	157	293
350	158	292
351	158	291
352	158	290
353	158	289
354	159	288
355	159	288
356	159	287
357	159	286
358	160	286
359	160	285
360	160	284
361	161	283
362	161	283
363	161	282
364	162	281
365	162	281
366	162	280
367	162	279
368	163	279
369	163	278
370	163	277
371	164	277
372	164	276
373	164	275
374	164	274
375	165	274
376	165	273
377	165	272
378	165	271
379	166	271
380	166	270
381	166	269
382	166	268
383	167	268
384	167	267
385	167	266
386	168	266
387	168	265
388	168	264
389	168	264
390	169	263
391	169	262
392	169	262
393	170	261
394	170	260
395	170	260
396	170	259
397	171	258
398	171	258
399	171	257
400	171	256
401	172	256
402	172	255
403	172	254
404	172	254
405	173	253
406	173	252
407	173	252
408	174	251
409	174	250
410	174	250
411	174	249
412	175	248
413	175	248
414	175	247
